Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,28.70320489,25.07490456,20.1344305,23.32131038,22.08391008,18.91356989,21.63562547,21.90162866,23.70900991,25.54830554,38.5377686,37.27691138,30.65181187,29.64464306,34.16126419,27.21728165,19.71312542,16.27297302,14.54046446,15.98593736,13.80643365,12.01610429,10.4164808,10.91889164,10.60419301,9.64183503,10.18085588,8.255083709,7.085518766,7.612517852,5.456860516,7.033750716,5.31864338,6.042068946,5.083041824,5.629773752,6.03570025,6.110143101,6.134665739,5.001059616,4.92101274,5.799034299,6.795393733,13.14455259,10.45921111,11.44175596,11.23921622,12.59397994,
Bulgaria,BGR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.20269787,14.22231865,13.88594548,7.988797366,7.644217598,6.951514431,7.344203448,7.438151392,7.994103733,7.474530505,8.796003447,10.05663874,22.20546773,18.9291632,20.69240377,21.6085631,30.80869296,18.50323117,16.97681474,13.9498325,11.52735846,8.822010525,13.76867734,8.002875824,12.69898043,
Belarus,BLR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64391103,4.279360169,3.442433085,2.303198346,2.429843235,2.827775071,4.201043659,5.508972451,4.303336527,4.374446578,3.883470195,2.539471509,3.956638358,3.449521214,4.051147554,3.790620223,6.775541385,5.904897162,6.886114446,9.527576683,10.37749622,12.11892522,14.89635717,20.31890734,11.77558878,13.3189514,10.45164568,11.27580959,8.623196578,14.06451474,16.16868542,
Belize,BLZ,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,6.666035643,13.38861594,10.99050035,9.584013783,8.289310329,7.879762537,7.165314442,6.370871684,5.572350293,6.274180132,8.853573104,12.1959164,12.77023186,11.71825354,13.76920125,11.61052109,17.92762401,22.34439756,39.02608478,29.38994043,61.85409967,36.84930204,17.58684824,78.95392168,16.89445375,17.12802411,15.24163256,13.84330807,14.88362099,12.74898027,8.437666778,9.406373161,10.49176842,10.06343476,10.52604659,9.366430247,11.023768,58.93269789,5.564532,7.32640833,
Bermuda,BMU,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,22.56822586,24.83973558,53.45872592,34.10883388,35.46032554,36.21054092,59.74877534,51.86040903,63.88089981,50.29846503,37.44749801,34.33527536,54.93067682,33.50250135,39.3681214,35.72214947,37.24996912,37.89424386,29.53461656,29.96187133,31.22189518,31.85163184,29.61712215,28.91298507,39.84833578,33.53620436,29.12139679,21.41675012,19.77287419,15.66352101,9.69615044,13.95370693,12.90130894,10.32692651,9.477805116,4.823567899,5.247560428,4.255668878,6.977643976,9.898839527,9.219539095,10.02414778,9.519566564,10.36523628,15.56406033,14.0114788,16.51897431,14.25322292,
Brazil,BRA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,43.82910528,38.31543537,42.82029128,58.40980973,63.13773162,63.63773557,66.59228741,82.11851501,54.91543568,45.59477271,39.34405599,46.48183017,41.84985597,45.93392436,36.54208099,22.63833207,23.42508925,21.24073738,25.15825937,31.24183906,38.56568186,43.69477887,59.8465348,80.75591555,116.5638942,86.65499186,71.14553747,71.53364161,67.67868398,48.32353894,45.98864157,38.32985608,28.28906243,23.62994165,23.67122776,18.42966827,18.76905155,15.73141323,28.06711814,22.94844221,39.7792836,51.05497558,34.76795269,33.30944369,53.47027741,50.35327305,46.72530006,29.91640401,53.80743423,
Barbados,BRB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79220346,4.845858422,11.85070998,12.68448924,14.41665316,11.20680852,18.70102121,11.82092629,13.17508509,18.10434,17.55958019,11.92263517,11.41777455,8.352126454,8.743303625,17.32419118,16.19486951,16.29878228,
Botswana,BWA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,3.212676095,1.553859986,1.889391894,2.460417063,1.611591766,1.891514982,1.613772166,2.245753115,3.006210534,3.711963074,5.350261346,4.254689815,3.871231001,4.243159377,3.339350736,4.348678113,3.445903511,3.905576793,3.618104504,4.010759391,3.147542087,5.243558184,2.825228944,2.595479036,2.165114031,2.033677942,1.712494424,1.954182431,1.231103556,1.034729445,0.934225509,0.96699654,0.722587202,1.177485789,1.043672343,1.397484441,1.058015768,0.885818319,2.145045752,0.672762053,3.32688649,1.979749582,2.442898844,2.360557219,3.01630581,3.793743453,2.010832375,1.953259124,3.752994769,
Central African Republic,CAF,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,3.314105587,3.578309185,2.348876901,4.864356498,6.087030331,5.05449204,12.84641864,16.27196151,14.21996467,15.0850961,14.06500551,13.78256868,15.66819111,13.21289172,8.319712488,9.256057898,4.963946746,12.93195406,,,,,,,,,,,,,,,,,,,,,,,,,8.489987814,4.515815041,5.002966294,5.962841405,9.668027062,
Canada,CAN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,8.592454983,10.88092159,7.959295314,8.372678463,9.701646683,9.593813443,9.6339833,11.36478464,11.68547504,11.92966412,10.21035239,11.14333933,8.915396208,9.884747902,8.803153264,12.61343148,12.5451629,16.80116505,13.13491604,11.46971619,12.14668698,8.119865497,3.726291153,3.384675787,2.633075189,2.376860398,2.071532243,2.910785026,2.896430978,2.916652724,3.084647551,3.039701896,3.019717453,4.902748896,6.918755436,7.58735987,8.252718966,9.495168722,9.194780342,8.687544516,10.74521171,10.27619121,
Cote d'Ivoire,CIV,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,9.462689016,11.26407321,10.92730052,15.31687226,20.11095252,38.65920826,52.57535953,54.14557838,49.93734746,37.54997973,34.82504575,35.44800064,38.40213199,32.38722198,33.22682537,35.43789728,37.86153858,32.07808825,33.22303572,35.17184687,23.11221297,26.52582521,22.47049146,25.66785617,26.82006122,,,,,,3.521573178,2.836695851,4.389194727,8.964763731,8.984041995,5.859822329,5.267436169,5.417396492,7.955711053,7.145863577,6.358645335,12.97309632,17.0951138,12.31552045,21.18575006,17.9986903,10.32196789,11.78735756,19.69909857,
Cameroon,CMR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,6.914366124,9.559538051,10.35524882,13.33392779,16.5895444,21.50899577,19.04240541,20.41047006,30.22562117,26.11492404,30.78260066,29.1029226,17.28633275,20.52414141,17.64311438,16.51184324,24.5658367,21.30046372,21.00655359,20.08497589,20.27056835,21.1530501,24.80269608,20.73092986,11.92670777,11.5080683,13.4592567,15.61905657,19.12469787,15.24030239,7.594099782,5.90080503,7.35924774,3.559765758,4.318053427,3.135196675,3.33088125,6.054746859,7.357072471,13.39247547,10.67645537,14.06454187,14.24485018,20.85882089,25.55850109,20.52101947,19.88358824,
"Congo, Dem. Rep.",COD,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.898641659,9.179745321,7.62714492,7.674513007,12.37430715,3.079198244,2.463755766,2.518194113,2.882848525,2.818988665,3.257106084,3.594933275,2.954766243,2.015090203,6.914656102,1.930166718,1.426664045,1.334155498,1.63073207,
"Congo, Rep.",COG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,5.371887642,13.34797795,10.5763387,20.54029461,19.98576884,28.66600458,26.64670351,34.40373068,46.23585029,45.0343546,46.06832987,27.92677061,34.57225157,26.26417989,14.71631796,13.33990492,54.12979629,13.49301641,20.74479658,7.683055677,3.069213334,1.539322349,1.700320919,4.241169944,1.207061876,2.280760009,5.815131159,2.253938156,1.380394013,1.836657104,2.00642003,2.788958979,1.332513485,1.13269575,1.651283475,4.551977879,5.097090286,8.093682318,7.828248948,,,6.379389373,13.64906494,5.046673749,7.626203778,8.011858999,
Colombia,COL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,28.4917649,27.85927384,27.40891022,23.08301333,22.02967755,15.11892001,13.69475746,11.30351558,12.1011284,14.85124025,16.59519157,22.83447683,30.45950962,39.54741083,30.91484835,43.06090721,34.07509269,40.08237359,47.59709626,51.71376336,43.10680683,39.80859392,41.38431764,35.41840591,49.1849052,33.74744132,39.16513199,30.00294589,31.67604928,44.67189372,30.56713511,39.70112354,45.78560138,52.97376479,37.8899423,39.98215999,32.81746155,23.25051524,17.40239575,21.46477476,20.08225192,15.13555009,21.06809835,13.91393926,21.63971198,27.59076169,33.14138921,40.8968341,40.77517717,32.95623543,50.75724082,44.61230799,33.93889223,36.95580903,
Comoros,COM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,2.872143788,4.345090945,3.754231175,6.442619467,26.00893228,10.65470094,7.588962842,5.854305273,2.579244195,3.832700081,2.907973534,15.68866317,11.02776464,3.880728143,6.610090324,1.959866441,,,,,,,,4.754913007,5.523667293,6.768894277,5.911020206,34.03397777,15.45944286,14.61044568,4.736684981,3.805202715,13.22923307,0.540012364,0.591865638,7.198585983,5.503302987,2.944787229,4.789551938,6.056897091,13.91912088,2.541560166,2.725557935,11.5541626,
