Country Code,year,indicator,estimate
AGO,1996,ge,-0.86
ATG,1996,ge,0.64
ARG,1996,ge,0.17
ARM,1996,ge,-0.38
AUS,1996,ge,1.8
AUT,1996,ge,1.73
AZE,1996,ge,-0.92
BHS,1996,ge,1.37
BHR,1996,ge,0.78
BGD,1996,ge,-0.69
BRB,1996,ge,1.41
BLR,1996,ge,-0.38
BEL,1996,ge,1.71
BLZ,1996,ge,0.39
BEN,1996,ge,-0.38
BMU,1996,ge,1.16
BTN,1996,ge,0.64
BOL,1996,ge,-0.17
BIH,1996,ge,-1.19
BWA,1996,ge,0.56
BRA,1996,ge,-0.14
BRN,1996,ge,0.93
BGR,1996,ge,-0.04
BFA,1996,ge,-0.93
BDI,1996,ge,-1.66
KHM,1996,ge,-0.72
CMR,1996,ge,-1.08
CAN,1996,ge,1.74
CYM,1996,ge,1.93
CAF,1996,ge,-1.41
TCD,1996,ge,-0.64
CHL,1996,ge,1.34
CHN,1996,ge,-0.35
COL,1996,ge,-0.46
COM,1996,ge,-1.66
ZAR,1996,ge,-1.65
COG,1996,ge,-1.17
CRI,1996,ge,0.47
HRV,1996,ge,0.1
CUB,1996,ge,-0.91
CYP,1996,ge,1.17
CZE,1996,ge,0.62
CIV,1996,ge,-0.26
DNK,1996,ge,1.76
DJI,1996,ge,-0.89
DMA,1996,ge,0.64
DOM,1996,ge,-0.22
ECU,1996,ge,-0.48
EGY,1996,ge,-0.47
SLV,1996,ge,-0.69
GNQ,1996,ge,-0.96
ERI,1996,ge,-1.15
EST,1996,ge,0.61
SWZ,1996,ge,-0.64
ETH,1996,ge,-1.21
FJI,1996,ge,-0.12
FIN,1996,ge,1.72
FRA,1996,ge,1.25
GUF,1996,ge,0.9
GAB,1996,ge,-0.2
GMB,1996,ge,-0.62
GEO,1996,ge,-0.64
DEU,1996,ge,1.72
GHA,1996,ge,-0.12
GRC,1996,ge,0.84
GRD,1996,ge,0.64
GTM,1996,ge,-0.45
GIN,1996,ge,-1.17
GNB,1996,ge,-1.41
GUY,1996,ge,-0.38
HTI,1996,ge,-1
HND,1996,ge,-0.74
HKG,1996,ge,1.04
HUN,1996,ge,0.86
ISL,1996,ge,1.86
IND,1996,ge,-0.11
IDN,1996,ge,-0.71
IRN,1996,ge,-0.6
IRQ,1996,ge,-2.09
IRL,1996,ge,1.67
ISR,1996,ge,0.77
ITA,1996,ge,0.84
JAM,1996,ge,0.14
JPN,1996,ge,0.91
JOR,1996,ge,-0.03
KAZ,1996,ge,-0.96
KEN,1996,ge,-0.52
PRK,1996,ge,-1.89
KOR,1996,ge,0.47
KWT,1996,ge,0.12
KGZ,1996,ge,-0.38
LAO,1996,ge,-0.64
LVA,1996,ge,0.49
LBN,1996,ge,-0.13
LSO,1996,ge,-0.12
LBR,1996,ge,-1.72
LBY,1996,ge,-0.88
LIE,1996,ge,1.67
LTU,1996,ge,0.53
LUX,1996,ge,1.96
MAC,1996,ge,0.39
MDG,1996,ge,-0.45
MWI,1996,ge,-0.29
MYS,1996,ge,0.54
MDV,1996,ge,0.9
MLI,1996,ge,-1
MLT,1996,ge,0.93
MTQ,1996,ge,0.9
MRT,1996,ge,-0.12
MUS,1996,ge,0.2
MEX,1996,ge,0.23
MDA,1996,ge,-0.22
MNG,1996,ge,-0.38
MAR,1996,ge,-0.1
MOZ,1996,ge,-0.14
MMR,1996,ge,-1.21
NAM,1996,ge,0.43
NPL,1996,ge,-0.38
NLD,1996,ge,1.94
NZL,1996,ge,1.77
NIC,1996,ge,-0.57
NER,1996,ge,-1.17
NGA,1996,ge,-0.92
MKD,1996,ge,-0.64
NOR,1996,ge,1.95
OMN,1996,ge,0.44
PAK,1996,ge,-0.62
PAN,1996,ge,0.22
PNG,1996,ge,-0.34
PRY,1996,ge,-0.91
PER,1996,ge,0.03
PHL,1996,ge,-0.31
POL,1996,ge,0.68
PRT,1996,ge,1.27
PRI,1996,ge,1.16
QAT,1996,ge,0.56
ROM,1996,ge,-0.29
RUS,1996,ge,-0.45
RWA,1996,ge,-1.15
WSM,1996,ge,0.39
SAU,1996,ge,-0.18
SEN,1996,ge,0.08
SRB,1996,ge,-1.06
SYC,1996,ge,0.64
SLE,1996,ge,-1.41
SGP,1996,ge,1.99
SVK,1996,ge,0.46
SVN,1996,ge,0.89
SOM,1996,ge,-1.96
ZAF,1996,ge,1.02
ESP,1996,ge,1.62
LKA,1996,ge,-0.18
SDN,1996,ge,-0.99
SUR,1996,ge,-0.69
SWE,1996,ge,1.92
CHE,1996,ge,1.76
SYR,1996,ge,-0.8
STP,1996,ge,-0.38
TWN,1996,ge,0.55
TJK,1996,ge,-1.41
TZA,1996,ge,-0.69
THA,1996,ge,0.18
TGO,1996,ge,-0.69
TTO,1996,ge,-0.1
TUN,1996,ge,0.38
TKM,1996,ge,-1.15
TUR,1996,ge,-0.08
UGA,1996,ge,-0.69
UKR,1996,ge,-0.67
ARE,1996,ge,0.78
GBR,1996,ge,1.88
USA,1996,ge,1.52
URY,1996,ge,0.58
UZB,1996,ge,-1.2
VEN,1996,ge,-0.54
VNM,1996,ge,-0.58
WBG,1996,ge,-1.15
YEM,1996,ge,-0.62
ZMB,1996,ge,-1.13
ZWE,1996,ge,-0.32
AFG,1996,pv,-2.42
ALB,1996,pv,-0.34
DZA,1996,pv,-1.78
ADO,1996,pv,1.17
AGO,1996,pv,-2.06
ATG,1996,pv,0.72
ARG,1996,pv,0.11
ARM,1996,pv,-0.36
AUS,1996,pv,1.4
AUT,1996,pv,1.41
AZE,1996,pv,-0.83
BHS,1996,pv,1.07
BHR,1996,pv,-0.31
BGD,1996,pv,-0.55
BRB,1996,pv,1.05
BLR,1996,pv,0.09
BEL,1996,pv,1.29
BLZ,1996,pv,0.56
BEN,1996,pv,1.05
BMU,1996,pv,0.72
BTN,1996,pv,0.72
BOL,1996,pv,-0.13
BIH,1996,pv,-0.59
BWA,1996,pv,1.02
BRA,1996,pv,-0.22
BRN,1996,pv,1.24
BGR,1996,pv,-0.09
BFA,1996,pv,-0.3
BDI,1996,pv,-2.12
KHM,1996,pv,-1.1
CMR,1996,pv,-0.96
CAN,1996,pv,1.23
CPV,1996,pv,1.04
CYM,1996,pv,0.72
CAF,1996,pv,-1.21
TCD,1996,pv,-1
CHL,1996,pv,0.68
CHN,1996,pv,-0.1
COL,1996,pv,-1.65
COM,1996,pv,0.51
ZAR,1996,pv,-2.68
COG,1996,pv,-1.22
CRI,1996,pv,0.75
HRV,1996,pv,-0.04
CUB,1996,pv,0.23
CYP,1996,pv,0.39
CZE,1996,pv,1.15
CIV,1996,pv,0.03
DNK,1996,pv,1.44
DJI,1996,pv,-0.34
DMA,1996,pv,0.72
DOM,1996,pv,-0.08
ECU,1996,pv,-0.77
EGY,1996,pv,-0.53
SLV,1996,pv,-0.22
GNQ,1996,pv,-0.13
ERI,1996,pv,-0.94
EST,1996,pv,0.77
SWZ,1996,pv,-0.21
ETH,1996,pv,-1.05
FJI,1996,pv,0.83
FIN,1996,pv,1.41
FRA,1996,pv,0.89
GUF,1996,pv,0.04
GAB,1996,pv,0.13
GMB,1996,pv,0.56
GEO,1996,pv,-1.57
DEU,1996,pv,1.29
GHA,1996,pv,-0.23
GRC,1996,pv,0.55
GRD,1996,pv,0.91
GTM,1996,pv,-1.01
GIN,1996,pv,-1.15
GNB,1996,pv,-1.54
GUY,1996,pv,-0.27
HTI,1996,pv,-0.76
HND,1996,pv,-0.47
HKG,1996,pv,0.58
HUN,1996,pv,1.01
ISL,1996,pv,1.33
IND,1996,pv,-0.97
IDN,1996,pv,-1.13
IRN,1996,pv,-0.32
IRQ,1996,pv,-1.82
IRL,1996,pv,1.34
ISR,1996,pv,-1.15
ITA,1996,pv,1.11
JAM,1996,pv,0.11
JPN,1996,pv,1.16
JOR,1996,pv,-0.04
KAZ,1996,pv,-0.37
KEN,1996,pv,-0.66
PRK,1996,pv,-0.51
KOR,1996,pv,0.57
KWT,1996,pv,0.17
KGZ,1996,pv,-0.17
LAO,1996,pv,0.37
LVA,1996,pv,0.56
LBN,1996,pv,-0.67
LSO,1996,pv,0.23
LBR,1996,pv,-2.44
LBY,1996,pv,-0.99
LIE,1996,pv,1.17
LTU,1996,pv,0.52
LUX,1996,pv,1.38
MAC,1996,pv,0.26
MDG,1996,pv,0.22
MWI,1996,pv,-0.46
MYS,1996,pv,0.57
MDV,1996,pv,0.88
MLI,1996,pv,0.37
MLT,1996,pv,1.33
MTQ,1996,pv,0.26
MRT,1996,pv,0.37
MUS,1996,pv,1.09
MEX,1996,pv,-0.93
MDA,1996,pv,0.01
MNG,1996,pv,0.75
MAR,1996,pv,-0.21
MOZ,1996,pv,-0.05
MMR,1996,pv,-1.26
NAM,1996,pv,0.85
NPL,1996,pv,-0.07
NLD,1996,pv,1.53
NZL,1996,pv,1.34
NIC,1996,pv,-0.52
NER,1996,pv,0.03
NGA,1996,pv,-1.06
MKD,1996,pv,-0.48
NOR,1996,pv,1.46
OMN,1996,pv,0.87
PAK,1996,pv,-1.13
PAN,1996,pv,0.12
PNG,1996,pv,-0.78
PRY,1996,pv,-0.46
PER,1996,pv,-1.06
PHL,1996,pv,-0.48
POL,1996,pv,0.83
PRT,1996,pv,1.29
PRI,1996,pv,0.26
QAT,1996,pv,0.36
ROM,1996,pv,0.6
RUS,1996,pv,-1.18
RWA,1996,pv,-1.85
WSM,1996,pv,1.32
SAU,1996,pv,-0.19
SEN,1996,pv,-0.6
SRB,1996,pv,-1.03
SYC,1996,pv,1.05
SLE,1996,pv,-1.7
SGP,1996,pv,1.12
SVK,1996,pv,0.88
SVN,1996,pv,1.31
SLB,1996,pv,1.04
SOM,1996,pv,-2.51
ZAF,1996,pv,-0.38
ESP,1996,pv,0.17
LKA,1996,pv,-1.78
LCA,1996,pv,1.04
VCT,1996,pv,1.04
SDN,1996,pv,-2.48
SUR,1996,pv,0.44
SWE,1996,pv,1.46
CHE,1996,pv,1.46
SYR,1996,pv,-0.35
STP,1996,pv,1.05
TWN,1996,pv,1.06
TJK,1996,pv,-2.12
TZA,1996,pv,-0.63
THA,1996,pv,0.47
TGO,1996,pv,-0.38
TTO,1996,pv,0.27
TUN,1996,pv,0.26
TKM,1996,pv,0.45
TUR,1996,pv,-1.26
UGA,1996,pv,-1.53
UKR,1996,pv,-0.15
ARE,1996,pv,0.96
GBR,1996,pv,0.98
USA,1996,pv,0.94
URY,1996,pv,0.62
UZB,1996,pv,-0.54
VUT,1996,pv,1.04
VEN,1996,pv,-0.58
VNM,1996,pv,0.53
WBG,1996,pv,-1.41
YEM,1996,pv,-1.31
ZMB,1996,pv,-0.16
ZWE,1996,pv,-0.47
AFG,1996,rl,-1.79
ALB,1996,rl,-0.68
DZA,1996,rl,-1.22
ADO,1996,rl,1.16
AGO,1996,rl,-1.63
ATG,1996,rl,1.05
ARG,1996,rl,0.08
ARM,1996,rl,-0.47
AUS,1996,rl,1.71
AUT,1996,rl,1.81
AZE,1996,rl,-1.2
BHS,1996,rl,1.15
BHR,1996,rl,-0.01
BGD,1996,rl,-0.93
BRB,1996,rl,1.05
BLR,1996,rl,-0.8
BEL,1996,rl,1.37
BLZ,1996,rl,0.08
BEN,1996,rl,0.05
BMU,1996,rl,1.21
BTN,1996,rl,-0.03
BOL,1996,rl,-0.26
BIH,1996,rl,-0.24
BWA,1996,rl,0.58
BRA,1996,rl,-0.22
BRN,1996,rl,0.82
BGR,1996,rl,-0.34
BFA,1996,rl,-0.93
BDI,1996,rl,-1.42
KHM,1996,rl,-1.19
CMR,1996,rl,-1.44
CAN,1996,rl,1.65
CPV,1996,rl,1.04
CYM,1996,rl,1.46
CAF,1996,rl,-1.15
TCD,1996,rl,-1.26
CHL,1996,rl,1.11
CHN,1996,rl,-0.55
COL,1996,rl,-0.75
COM,1996,rl,-0.88
ZAR,1996,rl,-1.88
COG,1996,rl,-1.04
CRI,1996,rl,0.62
HRV,1996,rl,-0.63
CUB,1996,rl,-1.14
CYP,1996,rl,0.86
CZE,1996,rl,0.92
CIV,1996,rl,-0.79
DNK,1996,rl,1.82
DJI,1996,rl,-0.97
DMA,1996,rl,0.84
DOM,1996,rl,-0.52
ECU,1996,rl,-0.45
EGY,1996,rl,0
SLV,1996,rl,-0.87
GNQ,1996,rl,-1.28
ERI,1996,rl,-0.66
EST,1996,rl,0.57
SWZ,1996,rl,-0.47
ETH,1996,rl,-0.97
FJI,1996,rl,0.32
FIN,1996,rl,1.91
FRA,1996,rl,1.48
GUF,1996,rl,0.96
GAB,1996,rl,-0.65
GMB,1996,rl,0.02
GEO,1996,rl,-1.26
DEU,1996,rl,1.61
GHA,1996,rl,-0.23
GRC,1996,rl,1.05
GRD,1996,rl,0.43
GTM,1996,rl,-1.13
GIN,1996,rl,-1.45
GNB,1996,rl,-1.67
GUY,1996,rl,-0.2
HTI,1996,rl,-1.39
HND,1996,rl,-0.93
HKG,1996,rl,0.75
HUN,1996,rl,0.91
ISL,1996,rl,1.6
IND,1996,rl,0.31
IDN,1996,rl,-0.49
IRN,1996,rl,-0.94
IRQ,1996,rl,-1.56
IRL,1996,rl,1.5
ISR,1996,rl,1.28
ITA,1996,rl,1.06
JAM,1996,rl,-0.34
JPN,1996,rl,1.35
JOR,1996,rl,0.28
KAZ,1996,rl,-1.19
KEN,1996,rl,-1.02
KIR,1996,rl,0.81
PRK,1996,rl,-1.15
KOR,1996,rl,0.8
KWT,1996,rl,0.6
KGZ,1996,rl,-0.73
LAO,1996,rl,-1.05
LVA,1996,rl,0.13
LBN,1996,rl,-0.28
LSO,1996,rl,0.1
LBR,1996,rl,-1.93
LBY,1996,rl,-1.18
LIE,1996,rl,1.47
LTU,1996,rl,0.45
LUX,1996,rl,1.71
MAC,1996,rl,0.21
MDG,1996,rl,-0.4
MWI,1996,rl,-0.38
MYS,1996,rl,0.52
MDV,1996,rl,0.02
MLI,1996,rl,-0.3
MLT,1996,rl,1.05
MHL,1996,rl,-0.2
MTQ,1996,rl,1.21
MRT,1996,rl,-0.5
MUS,1996,rl,0.9
